t_s,frame,tag_detected,state,pan_deg,tilt_deg,eu_px,ev_px,eu_s_px,ev_s_px,err_px,dpan,dtilt,in_deadband,clamped_pan,clamped_tilt,servo_sent,tag_conf,lost_t
0.003,1,1,ibvs_active,-1.47,-0.36,-36.8,8.9,-29.4,7.1,37.8,-1.471,-0.357,0,0,0,1,26.4,
0.074,2,1,ibvs_active,-3.23,-0.79,-36.7,9.1,-35.2,8.7,37.8,-1.761,-0.435,0,0,0,1,27.4,
0.119,3,1,ibvs_active,-5.05,-1.24,-36.6,9.1,-36.3,9.0,37.7,-1.815,-0.452,0,0,0,1,27.6,
0.171,4,1,ibvs_active,-6.67,-1.7,-31.5,9.2,-32.5,9.2,32.8,-1.623,-0.458,0,0,0,1,27.6,
0.218,5,0,tag_lost_countdown,-6.67,-1.7,,,,,,,,,,,,,0.0
0.265,6,1,deadband,-6.67,-1.7,7.5,6.7,-0.5,7.2,10.1,0.0,0.0,1,0,0,0,27.1,
0.311,7,1,ibvs_active,-6.18,-1.77,24.8,1.5,19.8,2.6,24.9,0.492,-0.066,0,0,0,1,27.0,
0.362,8,1,ibvs_active,-5.35,-1.83,24.8,1.5,23.8,1.8,24.9,0.828,-0.061,0,0,0,1,27.6,
0.406,9,1,ibvs_active,-4.45,-1.88,24.8,1.1,24.6,1.3,24.8,0.901,-0.046,0,0,0,1,27.6,
0.453,10,1,ibvs_active,-3.54,-1.92,24.8,1.2,24.7,1.2,24.8,0.914,-0.044,0,0,0,1,27.2,
0.499,11,1,ibvs_active,-2.65,-1.98,24.4,1.6,24.5,1.5,24.5,0.888,-0.055,0,0,0,1,27.3,
0.547,12,1,ibvs_active,-1.97,-2.02,21.5,1.6,22.1,1.6,21.6,0.674,-0.048,0,0,0,1,24.0,
0.594,13,1,deadband,-1.97,-2.02,4.3,1.3,7.9,1.3,4.5,0.0,0.0,1,0,0,0,27.4,
0.642,14,1,deadband,-1.97,-2.02,2.7,1.7,3.7,1.6,3.2,0.0,0.0,1,0,0,0,26.6,
0.685,15,1,deadband,-1.97,-2.02,-8.9,1.4,-6.4,1.5,9.1,0.0,0.0,1,0,0,0,27.1,
0.736,16,1,deadband,-1.97,-2.02,-8.9,1.5,-8.4,1.5,9.0,0.0,0.0,1,0,0,0,27.5,
0.780,17,1,deadband,-1.97,-2.02,-9.0,1.5,-8.9,1.5,9.1,0.0,0.0,1,0,0,0,26.3,
0.826,18,1,deadband,-1.97,-2.02,-9.0,1.5,-8.9,1.5,9.1,0.0,0.0,1,0,0,0,27.7,
0.873,19,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,27.8,
0.921,20,1,deadband,-1.97,-2.02,-9.0,1.5,-9.0,1.5,9.1,0.0,0.0,1,0,0,0,28.2,
0.966,21,1,deadband,-1.97,-2.02,-8.9,1.5,-8.9,1.5,9.0,0.0,0.0,1,0,0,0,27.9,
1.017,22,1,deadband,-1.97,-2.02,-8.9,1.5,-8.9,1.5,9.0,0.0,0.0,1,0,0,0,27.4,
1.062,23,1,deadband,-1.97,-2.02,-9.0,1.5,-8.9,1.5,9.1,0.0,0.0,1,0,0,0,28.2,
1.111,24,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,27.6,
1.156,25,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,26.7,
1.205,26,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,27.1,
1.250,27,1,deadband,-1.97,-2.02,-9.0,1.4,-9.0,1.4,9.1,0.0,0.0,1,0,0,0,27.3,
1.304,28,1,deadband,-1.97,-2.02,-9.0,1.5,-9.0,1.5,9.1,0.0,0.0,1,0,0,0,27.6,
1.347,29,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,26.9,
1.396,30,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,26.9,
1.443,31,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,28.2,
1.492,32,1,deadband,-1.97,-2.02,-8.9,1.5,-8.9,1.5,9.0,0.0,0.0,1,0,0,0,27.5,
1.537,33,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,26.9,
1.588,34,1,deadband,-1.97,-2.02,-8.9,1.4,-8.9,1.4,9.0,0.0,0.0,1,0,0,0,28.1,
1.630,35,1,deadband,-1.97,-2.02,-9.0,1.4,-8.9,1.4,9.1,0.0,0.0,1,0,0,0,26.0,
1.683,36,1,deadband,-1.97,-2.02,-9.3,2.5,-9.2,2.3,9.6,0.0,0.0,1,0,0,0,26.1,
1.727,37,1,deadband,-1.97,-2.02,-9.7,11.9,-9.6,10.0,15.4,0.0,0.0,1,0,0,0,27.1,
1.774,38,1,deadband,-1.97,-2.02,-8.4,-2.1,-8.6,0.4,8.6,0.0,0.0,1,0,0,0,25.5,
1.819,39,0,tag_lost_countdown,-1.97,-2.02,,,,,,,,,,,,,0.0
1.871,40,1,ibvs_active,-2.43,-1.69,-18.7,-15.7,-16.7,-12.5,24.4,-0.454,0.338,0,0,0,1,24.3,
1.916,41,1,ibvs_active,-2.78,-1.19,-11.2,-18.7,-12.3,-17.5,21.8,-0.349,0.496,0,0,0,1,26.5,
1.968,42,1,ibvs_active,-3.03,-0.76,-9.6,-17.1,-10.1,-17.2,19.6,-0.252,0.426,0,0,0,1,26.6,
2.015,43,1,ibvs_active,-3.27,-0.42,-10.9,-15.1,-10.8,-15.5,18.6,-0.239,0.344,0,0,0,1,26.9,
2.068,44,1,ibvs_active,-3.43,-0.25,-11.2,-10.5,-11.1,-11.5,15.4,-0.167,0.173,0,0,0,1,27.4,
2.113,45,1,ibvs_active,-3.57,-0.13,-11.6,-9.0,-11.5,-9.5,14.7,-0.141,0.117,0,0,0,1,26.8,
2.165,46,1,ibvs_active,-3.69,-0.03,-10.8,-9.1,-10.9,-9.2,14.1,-0.117,0.098,0,0,0,1,27.1,
2.209,47,1,ibvs_active,-3.71,-0.02,-10.1,-1.6,-10.3,-3.1,10.2,-0.019,0.006,0,0,0,1,26.8,
2.259,48,1,ibvs_active,-3.72,-0.02,-10.2,-1.2,-10.2,-1.5,10.2,-0.007,0.001,0,0,0,1,27.5,
2.305,49,1,ibvs_active,-3.72,-0.02,-10.1,-1.2,-10.1,-1.3,10.1,-0.004,0.001,0,0,0,1,27.2,
2.359,50,1,deadband,-3.72,-0.02,-10.0,-1.3,-10.0,-1.3,10.1,0.0,0.0,1,0,0,0,27.5,
2.405,51,1,ibvs_active,-3.72,-0.02,-10.0,-1.3,-10.0,-1.3,10.1,-0.003,0.0,0,0,0,1,28.5,
2.455,52,1,deadband,-3.72,-0.02,-10.0,-1.4,-10.0,-1.4,10.1,0.0,0.0,1,0,0,0,27.1,
2.499,53,1,deadband,-3.72,-0.02,-9.9,-1.3,-10.0,-1.4,10.0,0.0,0.0,1,0,0,0,27.7,
2.549,54,1,deadband,-3.72,-0.02,-10.0,-1.3,-10.0,-1.3,10.0,0.0,0.0,1,0,0,0,27.6,
2.596,55,1,deadband,-3.72,-0.02,-9.9,-1.3,-9.9,-1.3,10.0,0.0,0.0,1,0,0,0,27.2,
2.649,56,1,ibvs_active,-3.82,-0.09,-11.4,10.1,-11.1,7.8,15.2,-0.1,-0.07,0,0,0,1,26.3,
2.693,57,0,tag_lost_countdown,-3.82,-0.09,,,,,,,,,,,,,0.0
2.743,58,0,tag_lost_countdown,-3.82,-0.09,,,,,,,,,,,,,0.05
2.789,59,1,ibvs_active,-5.01,-0.05,-31.4,-3.1,-27.4,-0.9,31.6,-1.189,0.04,0,0,0,1,26.7,
2.839,60,1,ibvs_active,-6.5,0.18,-30.4,-5.5,-29.8,-4.6,30.9,-1.491,0.228,0,0,0,1,26.6,
2.881,61,0,tag_lost_countdown,-6.5,0.18,,,,,,,,,,,,,0.0
2.932,62,0,tag_lost_countdown,-6.5,0.18,,,,,,,,,,,,,0.04
2.978,63,1,deadband,-6.5,0.18,-0.9,1.0,-6.7,-0.1,1.3,0.0,0.0,1,0,0,0,27.0,
3.026,64,1,deadband,-6.5,0.18,-0.3,-0.1,-1.6,-0.1,0.3,0.0,0.0,1,0,0,0,27.7,
3.071,65,1,deadband,-6.5,0.18,-0.3,0.2,-0.6,0.2,0.4,0.0,0.0,1,0,0,0,27.4,
3.120,66,1,deadband,-6.5,0.18,-0.3,0.1,-0.4,0.2,0.3,0.0,0.0,1,0,0,0,27.6,
3.164,67,1,deadband,-6.5,0.18,-0.4,0.2,-0.4,0.2,0.4,0.0,0.0,1,0,0,0,27.7,
