t_s,frame,tag_detected,state,pan_deg,tilt_deg,eu_px,ev_px,eu_s_px,ev_s_px,err_px,dpan,dtilt,in_deadband,clamped_pan,clamped_tilt,servo_sent,tag_conf,lost_t
0.001,1,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.0
0.081,2,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.09
0.127,3,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.17
0.179,4,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.21
0.232,5,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.26
0.284,6,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.32
0.331,7,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.37
0.383,8,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.42
0.431,9,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.47
0.484,10,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.52
0.529,11,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.57
0.582,12,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.61
0.632,13,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.67
0.685,14,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.72
0.735,15,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.77
0.788,16,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.82
0.836,17,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.87
0.887,18,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.92
0.939,19,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.97
0.989,20,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.02
1.036,21,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.08
1.092,22,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.12
1.145,23,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.18
1.196,24,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.23
1.243,25,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.28
1.302,26,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.33
1.349,27,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.39
1.402,28,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.44
1.448,29,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.49
1.500,30,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.53
1.553,31,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.59
1.604,32,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.64
1.654,33,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.69
1.707,34,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.74
1.755,35,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.79
1.806,36,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.84
1.854,37,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.89
1.910,38,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.94
1.958,39,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.0
2.016,40,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.04
2.061,41,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.1
2.115,42,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.15
2.162,43,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.2
2.213,44,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.25
2.261,45,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.3
2.315,46,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.35
2.362,47,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.4
2.414,48,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.45
2.461,49,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.5
2.515,50,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.55
2.563,51,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.6
2.614,52,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.65
2.660,53,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.7
2.714,54,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.75
2.761,55,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.8
2.817,56,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.85
2.864,57,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.9
2.916,58,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.95
2.961,59,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.0
3.011,60,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.05
3.059,61,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.1
3.109,62,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.14
3.157,63,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.19
3.211,64,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.24
3.256,65,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.3
3.308,66,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.34
3.357,67,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.39
3.411,68,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.44
3.458,69,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.5
3.510,70,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.54
3.562,71,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.6
3.619,72,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.65
3.665,73,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.7
3.717,74,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.75
3.766,75,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.8
3.823,76,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.85
3.869,77,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.91
3.921,78,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,3.95
3.968,79,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.01
4.021,80,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.05
4.076,81,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.11
4.127,82,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.16
4.174,83,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.21
4.228,84,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.26
4.274,85,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.31
4.326,86,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.36
4.372,87,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.41
4.424,88,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.46
4.474,89,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.51
4.526,90,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.56
4.576,91,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.61
4.627,92,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.66
4.675,93,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.71
4.728,94,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.76
4.778,95,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.81
4.834,96,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.86
4.881,97,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.92
4.934,98,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,4.97
4.984,99,0,chasing,0.0,0.0,,,,,,,,,,,,,
5.036,100,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.0
5.087,101,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.05
5.135,102,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.1
5.186,103,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.15
5.238,104,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.2
5.283,105,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.25
5.340,106,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.3
5.386,107,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.36
5.438,108,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.4
5.485,109,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.45
5.536,110,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.5
5.583,111,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.55
5.636,112,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.6
5.685,113,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.65
5.739,114,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.7
5.785,115,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.76
5.841,116,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.8
5.887,117,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.86
5.942,118,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.9
5.988,119,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,0.96
6.040,120,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.01
6.089,121,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.06
6.141,122,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.11
6.185,123,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.16
6.240,124,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.2
6.285,125,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.26
6.338,126,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.3
6.392,127,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.36
6.445,128,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.41
6.491,129,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.46
6.545,130,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.51
6.595,131,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.56
6.649,132,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.61
6.695,133,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.67
6.750,134,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.71
6.799,135,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.77
6.853,136,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.82
6.900,137,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.87
6.952,138,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.92
7.002,139,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,1.97
7.055,140,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.02
7.103,141,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.07
7.155,142,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.12
7.202,143,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.17
7.255,144,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.22
7.304,145,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.27
7.361,146,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.32
7.407,147,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.38
7.460,148,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.42
7.506,149,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.48
7.559,150,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.52
7.605,151,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.58
7.659,152,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.62
7.708,153,0,tag_lost_countdown,0.0,0.0,,,,,,,,,,,,,2.68
