image,run,status,tag_id,conf,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,qw,qx,qy,qz,eu_px,ev_px
frame_000036.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000038.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000038.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000038.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000038.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000038.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000040.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000040.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000040.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000040.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000040.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000042.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000042.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000042.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000042.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000042.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000044.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000044.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000044.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000044.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000044.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000046.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000046.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000046.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000046.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000046.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000048.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000048.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000048.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000048.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000048.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000050.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000050.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000050.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000050.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000050.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000052.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000052.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000052.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000052.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000052.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000054.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000054.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000054.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000054.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000054.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000056.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000056.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000056.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000056.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000056.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000058.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000058.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000058.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000058.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000058.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000060.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000060.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000060.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000060.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000060.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000062.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000062.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000062.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000062.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000062.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000064.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000064.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000064.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000064.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000064.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000066.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000066.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000066.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000066.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000066.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000068.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000068.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000068.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000068.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000068.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000070.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000070.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000070.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000070.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000070.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000072.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000072.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000072.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000072.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000072.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000074.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000074.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000074.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000074.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000074.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000076.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000076.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000076.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000076.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000076.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000078.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000078.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000078.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000078.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000078.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000080.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000080.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000080.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000080.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000080.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000082.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000082.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000082.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000082.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000082.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000084.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000084.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000084.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000084.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000084.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000086.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000086.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000086.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000086.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000086.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000088.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000088.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000088.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000088.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000088.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000090.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000090.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000090.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000090.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000090.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000092.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000092.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000092.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000092.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000092.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000094.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000094.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000094.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000094.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000094.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000096.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000096.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000096.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000096.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000096.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000098.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000098.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000098.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000098.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000098.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000100.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000100.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000100.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000100.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000100.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
