t_s,frame,tag_detected,state,pan_deg,tilt_deg,eu_px,ev_px,eu_s_px,ev_s_px,err_px,dpan,dtilt,steer_ff,in_deadband,clamped_pan,clamped_tilt,servo_sent,tag_conf,lost_t
0.002,1,1,ibvs_active,-0.77,-0.45,-26.5,15.5,-21.2,12.4,30.7,-0.774,-0.451,0.0,0,0,0,1,30.0,
0.079,2,1,ibvs_active,-2.02,-1.18,-26.6,15.5,-25.5,14.9,30.8,-1.245,-0.725,0.0,0,0,0,1,30.7,
0.126,3,1,ibvs_active,-3.34,-1.95,-26.6,15.5,-26.4,15.4,30.8,-1.318,-0.77,0.0,0,0,0,1,30.4,
0.177,4,1,ibvs_active,-4.66,-2.72,-26.6,15.5,-26.6,15.5,30.8,-1.328,-0.775,0.0,0,0,0,1,29.9,
0.223,5,1,ibvs_active,-5.37,-3.28,-17.6,15.2,-19.4,15.2,23.2,-0.71,-0.558,0.0,0,0,0,1,29.6,
0.270,6,0,tag_lost_countdown,-5.37,-3.28,,,,,,,,,,,,,,0.0
0.311,7,0,tag_lost_countdown,-5.37,-3.28,,,,,,,,,,,,,,0.05
0.359,8,1,ibvs_active,-5.24,-3.21,20.5,-12.2,12.5,-6.7,23.8,0.131,0.071,0.0,0,0,0,1,31.5,
0.405,9,1,ibvs_active,-4.61,-2.84,21.6,-12.4,19.8,-11.3,25.0,0.635,0.362,0.0,0,0,0,1,31.0,
0.460,10,1,ibvs_active,-3.83,-2.4,21.6,-12.5,21.3,-12.3,25.0,0.776,0.448,0.0,0,0,0,1,32.5,
0.508,11,1,ibvs_active,-3.03,-1.94,21.6,-12.4,21.6,-12.4,24.9,0.802,0.46,0.0,0,0,0,1,33.2,
0.565,12,1,ibvs_active,-2.24,-1.49,21.4,-12.2,21.4,-12.2,24.6,0.786,0.448,0.0,0,0,0,1,32.2,
0.612,13,1,ibvs_active,-1.88,-1.26,14.7,-9.8,16.1,-10.3,17.7,0.365,0.234,0.0,0,0,0,1,31.8,
0.660,14,1,deadband,-1.88,-1.26,6.4,-8.7,8.3,-9.0,10.8,0.0,0.0,0.0,1,0,0,0,24.2,
0.707,15,1,deadband,-1.88,-1.26,5.7,1.1,6.3,-0.9,5.8,0.0,0.0,0.0,1,0,0,0,29.7,
0.753,16,1,deadband,-1.88,-1.26,-4.0,-0.1,-1.9,-0.3,4.0,0.0,0.0,0.0,1,0,0,0,27.9,
0.799,17,1,deadband,-1.88,-1.26,-4.1,0.8,-3.7,0.6,4.2,0.0,0.0,0.0,1,0,0,0,33.1,
0.848,18,1,deadband,-1.88,-1.26,-4.1,0.2,-4.0,0.3,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
0.894,19,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.3,
0.947,20,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.6,
0.991,21,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,32.4,
1.040,22,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.1,
1.085,23,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.6,
1.134,24,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.6,
1.183,25,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.9,
1.232,26,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.8,
1.276,27,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.2,
1.325,28,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,31.7,
1.371,29,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.7,
1.421,30,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
1.466,31,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.516,32,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,33.1,
1.566,33,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.2,
1.612,34,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.655,35,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.0,
1.705,36,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
1.748,37,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
1.800,38,1,deadband,-1.88,-1.26,-4.0,0.7,-4.0,0.6,4.1,0.0,0.0,0.0,1,0,0,0,31.6,
1.845,39,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.0,
1.893,40,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
1.940,41,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.6,4.2,0.0,0.0,0.0,1,0,0,0,31.9,
1.992,42,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.6,4.0,0.0,0.0,0.0,1,0,0,0,32.1,
2.035,43,1,deadband,-1.88,-1.26,-3.9,0.5,-3.9,0.5,3.9,0.0,0.0,0.0,1,0,0,0,32.8,
2.082,44,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,31.4,
2.126,45,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
2.176,46,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
2.219,47,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.7,
2.267,48,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.1,0.0,0.0,0.0,1,0,0,0,31.7,
2.308,49,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.0,0.0,0.0,0.0,1,0,0,0,31.9,
2.357,50,1,deadband,-1.88,-1.26,-4.1,0.4,-4.0,0.4,4.1,0.0,0.0,0.0,1,0,0,0,31.6,
2.405,51,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,32.0,
2.455,52,1,deadband,-1.88,-1.26,-4.1,0.3,-4.1,0.3,4.1,0.0,0.0,0.0,1,0,0,0,32.8,
2.497,53,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.4,4.1,0.0,0.0,0.0,1,0,0,0,33.1,
2.545,54,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
2.586,55,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,32.8,
2.637,56,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.7,
2.680,57,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.6,4.1,0.0,0.0,0.0,1,0,0,0,32.1,
2.730,58,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.0,
2.774,59,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
2.827,60,1,deadband,-1.88,-1.26,-4.1,0.6,-4.1,0.6,4.1,0.0,0.0,0.0,1,0,0,0,31.5,
2.870,61,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,33.2,
2.918,62,1,deadband,-1.88,-1.26,-4.0,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
2.959,63,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.5,4.0,0.0,0.0,0.0,1,0,0,0,31.9,
3.008,64,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.4,
3.051,65,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,32.5,
3.100,66,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.1,
3.140,67,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,33.0,
3.187,68,1,deadband,-1.88,-1.26,-4.1,0.3,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
3.230,69,1,deadband,-1.88,-1.26,-4.0,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,31.5,
3.276,70,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.9,
3.320,71,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,33.3,
3.370,72,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.9,
3.414,73,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.4,
3.465,74,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.0,0.0,0.0,0.0,1,0,0,0,32.7,
3.508,75,1,deadband,-1.88,-1.26,-4.0,0.4,-4.0,0.4,4.0,0.0,0.0,0.0,1,0,0,0,33.6,
3.558,76,1,deadband,-1.88,-1.26,-4.1,0.4,-4.0,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.2,
3.601,77,1,deadband,-1.88,-1.26,-4.0,0.6,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,31.8,
3.649,78,1,deadband,-1.88,-1.26,-4.0,0.5,-4.0,0.5,4.1,0.0,0.0,0.0,1,0,0,0,31.9,
3.694,79,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
3.744,80,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.5,4.2,0.0,0.0,0.0,1,0,0,0,32.2,
3.786,81,1,deadband,-1.88,-1.26,-4.1,0.4,-4.1,0.4,4.1,0.0,0.0,0.0,1,0,0,0,32.5,
3.838,82,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,31.9,
3.883,83,1,deadband,-1.88,-1.26,-4.1,0.5,-4.1,0.5,4.1,0.0,0.0,0.0,1,0,0,0,32.3,
3.933,84,1,deadband,-1.88,-1.26,-4.2,1.3,-4.2,1.1,4.4,0.0,0.0,0.0,1,0,0,0,20.9,
3.974,85,1,deadband,-1.88,-1.26,-0.8,8.8,-1.5,7.3,8.8,0.0,0.0,0.0,1,0,0,0,25.1,
4.020,86,0,tag_lost_countdown,-1.88,-1.26,,,,,,,,,,,,,,0.0
4.061,87,1,deadband,-1.88,-1.26,-10.2,1.4,-8.5,2.5,10.3,0.0,0.0,0.0,1,0,0,0,30.6,
4.104,88,0,tag_lost_countdown,-1.88,-1.26,,,,,,,,,,,,,,0.0
4.146,89,0,tag_lost_countdown,-1.88,-1.26,,,,,,,,,,,,,,0.04
4.195,90,1,ibvs_active,-2.41,-1.27,-23.4,0.0,-20.4,0.5,23.4,-0.529,-0.014,0.0,0,0,0,1,25.1,
4.233,91,0,tag_lost_countdown,-2.41,-1.27,,,,,,,,,,,,,,0.0
4.282,92,1,ibvs_active,-4.29,-1.26,-42.0,-0.4,-37.7,-0.2,42.0,-1.883,0.009,0.0,0,0,0,1,30.0,
4.327,93,1,ibvs_active,-6.29,-1.15,-43.8,-2.7,-42.6,-2.2,43.9,-2.0,0.111,0.0,0,0,0,1,30.9,
4.375,94,1,ibvs_active,-8.29,-1.04,-42.2,-2.1,-42.3,-2.2,42.3,-2.0,0.108,0.0,0,0,0,1,25.5,
4.419,95,1,ibvs_active,-10.25,-0.74,-38.4,-7.1,-39.2,-6.1,39.1,-1.961,0.304,0.0,0,0,0,1,21.6,
4.465,96,0,tag_lost_countdown,-10.25,-0.74,,,,,,,,,,,,,,0.0
4.518,97,1,ibvs_active,-10.46,-0.63,-7.8,-7.5,-14.1,-7.2,10.8,-0.206,0.106,0.0,0,0,0,1,21.8,
4.566,98,0,tag_lost_countdown,-10.46,-0.63,,,,,,,,,,,,,,0.0
4.610,99,1,ibvs_active,-10.34,-0.63,20.3,1.5,13.4,-0.3,20.3,0.113,0.002,0.0,0,0,0,1,32.7,
4.661,100,1,ibvs_active,-9.91,-0.64,20.5,0.7,19.1,0.5,20.5,0.432,-0.012,0.0,0,0,0,1,31.5,
4.707,101,1,ibvs_active,-9.39,-0.66,20.5,1.0,20.2,0.9,20.6,0.519,-0.023,0.0,0,0,0,1,32.1,
4.763,102,1,ibvs_active,-8.86,-0.69,20.4,1.1,20.4,1.1,20.5,0.532,-0.028,0.0,0,0,0,1,31.5,
4.810,103,1,ibvs_active,-8.31,-0.72,20.7,1.0,20.6,1.0,20.7,0.547,-0.027,0.0,0,0,0,1,31.6,
4.859,104,1,ibvs_active,-7.8,-0.75,20.1,1.3,20.2,1.2,20.2,0.52,-0.032,0.0,0,0,0,1,30.8,
4.900,105,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.0
4.959,106,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.04
5.003,107,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.1
5.049,108,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.14
5.092,109,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.19
5.139,110,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.23
5.182,111,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.28
5.227,112,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.32
5.264,113,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.37
5.309,114,0,tag_lost_countdown,-7.8,-0.75,,,,,,,,,,,,,,0.4
5.349,115,1,ibvs_active,-5.8,-0.53,141.0,-5.8,116.8,-4.4,141.1,2.0,0.221,0.0,0,0,0,1,30.7,
5.395,116,1,ibvs_active,-3.8,-0.44,139.6,-1.2,135.1,-1.9,139.6,2.0,0.093,0.0,0,0,0,1,33.9,
5.438,117,0,tag_lost_countdown,-3.8,-0.44,,,,,,,,,,,,,,0.0
5.484,118,0,tag_lost_countdown,-3.8,-0.44,,,,,,,,,,,,,,0.04
5.525,119,0,tag_lost_countdown,-3.8,-0.44,,,,,,,,,,,,,,0.09
5.578,120,1,ibvs_active,-1.8,-0.29,94.3,-3.3,102.5,-3.0,94.4,2.0,0.15,0.0,0,0,0,1,35.0,
5.630,121,1,ibvs_active,0.2,-0.12,94.4,-3.3,96.0,-3.3,94.5,2.0,0.164,0.0,0,0,0,1,32.8,
5.681,122,0,tag_lost_countdown,0.2,-0.12,,,,,,,,,,,,,,0.0
5.726,123,1,ibvs_active,2.2,0.01,75.2,-2.6,79.3,-2.7,75.2,2.0,0.136,0.0,0,0,0,1,29.5,
5.771,124,0,tag_lost_countdown,2.2,0.01,,,,,,,,,,,,,,0.0
5.818,125,1,ibvs_active,4.2,0.12,50.6,-1.9,56.4,-2.1,50.7,2.0,0.105,0.0,0,0,0,1,31.0,
5.868,126,0,tag_lost_countdown,4.2,0.12,,,,,,,,,,,,,,0.0
5.912,127,1,ibvs_active,5.88,0.21,27.8,-1.9,33.5,-1.9,27.8,1.674,0.096,0.0,0,0,0,1,30.9,
5.962,128,1,ibvs_active,6.43,0.27,17.4,-2.0,20.6,-2.0,17.5,0.554,0.054,0.0,0,0,0,1,27.8,
6.013,129,1,ibvs_active,6.63,0.29,13.7,-1.8,15.1,-1.9,13.8,0.196,0.024,0.0,0,0,0,1,30.4,
6.059,130,0,tag_lost_countdown,6.63,0.29,,,,,,,,,,,,,,0.0
6.102,131,1,deadband,6.63,0.29,-9.1,8.5,-4.3,6.4,12.5,0.0,0.0,0.0,1,0,0,0,31.3,
6.151,132,1,deadband,6.63,0.29,-9.1,8.4,-8.1,8.0,12.4,0.0,0.0,0.0,1,0,0,0,32.2,
6.197,133,1,deadband,6.63,0.29,-9.3,8.7,-9.1,8.6,12.8,0.0,0.0,0.0,1,0,0,0,30.9,
6.246,134,1,deadband,6.63,0.29,-9.5,8.7,-9.4,8.7,12.9,0.0,0.0,0.0,1,0,0,0,30.7,
6.291,135,1,deadband,6.63,0.29,-9.4,8.6,-9.4,8.6,12.7,0.0,0.0,0.0,1,0,0,0,30.2,
6.339,136,1,deadband,6.63,0.29,-9.6,8.8,-9.6,8.7,13.1,0.0,0.0,0.0,1,0,0,0,30.6,
6.385,137,1,deadband,6.63,0.29,-9.5,8.6,-9.5,8.6,12.8,0.0,0.0,0.0,1,0,0,0,30.4,
6.438,138,1,deadband,6.63,0.29,-9.5,8.7,-9.5,8.7,12.9,0.0,0.0,0.0,1,0,0,0,30.2,
6.482,139,1,deadband,6.63,0.29,-9.6,8.7,-9.5,8.7,12.9,0.0,0.0,0.0,1,0,0,0,30.9,
6.531,140,1,deadband,6.63,0.29,-9.6,8.6,-9.6,8.7,12.9,0.0,0.0,0.0,1,0,0,0,31.0,
6.576,141,1,deadband,6.63,0.29,-9.6,8.7,-9.6,8.7,13.0,0.0,0.0,0.0,1,0,0,0,31.2,
6.626,142,1,deadband,6.63,0.29,-9.5,8.7,-9.5,8.7,12.9,0.0,0.0,0.0,1,0,0,0,30.9,
6.670,143,1,deadband,6.63,0.29,-9.7,8.7,-9.6,8.7,13.0,0.0,0.0,0.0,1,0,0,0,30.4,
6.719,144,1,deadband,6.63,0.29,-9.6,8.8,-9.6,8.8,13.0,0.0,0.0,0.0,1,0,0,0,30.2,
6.764,145,1,deadband,6.63,0.29,-9.8,8.7,-9.7,8.7,13.1,0.0,0.0,0.0,1,0,0,0,29.8,
6.809,146,0,tag_lost_countdown,6.63,0.29,,,,,,,,,,,,,,0.0
6.857,147,1,ibvs_active,6.58,0.2,-4.9,12.5,-5.8,11.8,13.4,-0.046,-0.092,0.0,0,0,0,1,24.5,
6.906,148,1,ibvs_active,6.41,-0.01,-11.9,12.9,-10.7,12.7,17.6,-0.177,-0.21,0.0,0,0,0,1,20.2,
6.949,149,1,ibvs_active,5.99,-0.29,-18.1,10.7,-16.6,11.1,21.0,-0.416,-0.277,0.0,0,0,0,1,29.1,
7.000,150,1,ibvs_active,5.52,-0.55,-18.4,9.5,-18.0,9.8,20.7,-0.474,-0.259,0.0,0,0,0,1,29.4,
7.043,151,1,ibvs_active,4.71,-0.9,-23.4,9.9,-22.3,9.9,25.4,-0.803,-0.355,0.0,0,0,0,1,22.0,
7.092,152,1,ibvs_active,3.8,-1.32,-23.6,11.0,-23.3,10.8,26.0,-0.914,-0.422,0.0,0,0,0,1,28.9,
7.134,153,0,tag_lost_countdown,3.8,-1.32,,,,,,,,,,,,,,0.0
7.177,154,0,tag_lost_countdown,3.8,-1.32,,,,,,,,,,,,,,0.04
7.219,155,1,ibvs_active,3.69,-1.35,-10.3,0.9,-12.9,2.9,10.4,-0.104,-0.023,0.0,0,0,0,1,28.0,
7.268,156,1,ibvs_active,3.64,-1.31,-9.5,-9.1,-10.2,-6.7,13.1,-0.055,0.036,0.0,0,0,0,1,24.6,
7.313,157,1,ibvs_active,3.53,-1.26,-13.0,-5.3,-12.4,-5.6,14.0,-0.113,0.051,0.0,0,0,0,1,29.5,
7.362,158,1,ibvs_active,3.34,-1.16,-14.2,-7.3,-13.9,-7.0,16.0,-0.192,0.096,0.0,0,0,0,1,30.3,
7.406,159,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.0
7.452,160,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.04
7.493,161,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.09
7.539,162,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.13
7.580,163,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.18
7.625,164,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.22
7.666,165,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.26
7.712,166,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.3
7.752,167,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.35
7.799,168,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.39
7.841,169,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.44
7.887,170,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.48
7.926,171,0,tag_lost_countdown,3.34,-1.16,,,,,,,,,,,,,,0.52
7.975,172,1,ibvs_active,5.34,-0.54,217.2,-13.9,171.0,-12.5,217.6,2.0,0.626,0.0,0,0,0,1,31.4,
8.021,173,1,ibvs_active,7.34,-0.3,221.1,-2.9,211.1,-4.8,221.1,2.0,0.241,0.0,0,0,0,1,20.8,
8.067,174,0,tag_lost_countdown,7.34,-0.3,,,,,,,,,,,,,,0.0
8.108,175,1,ibvs_active,9.34,0.18,214.3,-10.6,213.6,-9.5,214.5,2.0,0.474,0.0,0,0,0,1,33.3,
8.157,176,0,tag_lost_countdown,9.34,0.18,,,,,,,,,,,,,,0.0
8.201,177,1,ibvs_active,11.34,-0.19,203.6,11.4,205.6,7.3,204.0,2.0,-0.363,0.0,0,0,0,1,34.5,
8.245,178,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.0
8.286,179,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.04
8.334,180,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.08
8.375,181,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.13
8.420,182,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.17
8.461,183,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.22
8.505,184,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.26
8.547,185,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.3
8.593,186,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.35
8.631,187,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.39
8.673,188,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.43
8.714,189,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.47
8.766,190,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.51
8.808,191,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.57
8.853,192,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.61
8.896,193,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.65
8.941,194,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.69
8.984,195,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.74
9.028,196,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.78
9.069,197,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.83
9.116,198,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.87
9.157,199,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.92
9.206,200,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,0.96
9.246,201,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.01
9.292,202,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.04
9.332,203,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.09
9.380,204,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.13
9.423,205,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.18
9.468,206,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.22
9.508,207,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.27
9.554,208,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.31
9.595,209,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.35
9.644,210,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.39
9.686,211,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.44
9.733,212,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.49
9.776,213,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.53
9.832,214,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.58
9.872,215,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.63
9.920,216,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.67
9.957,217,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.72
10.001,218,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.76
10.047,219,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.8
10.094,220,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.85
10.134,221,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.89
10.178,222,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.93
10.216,223,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,1.98
10.265,224,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.02
10.305,225,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.07
10.348,226,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.1
10.387,227,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.15
10.431,228,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.19
10.472,229,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.23
10.516,230,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.27
10.555,231,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.32
10.599,232,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.35
10.639,233,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.4
10.691,234,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.44
10.731,235,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.49
10.780,236,0,tag_lost_countdown,11.34,-0.19,,,,,,,,,,,,,,2.53
